job_id,skill_abr
4402358306,TRNG
4403192988,WRT
4400482911,ENG
4400482911,IT
4402357386,IT
4402365242,MRKT
4402365242,PR
4402365242,WRT
4208133583,MGMT
4208133583,MNFC
4402375314,IT
4402372327,MRKT
4402372327,PR
4402372327,WRT
4402374265,ENG
4402374265,IT
4400098023,HR
4400800159,HR
4402357417,HR
4402356381,ENG
4402356381,IT
4402365292,RSCH
4402365292,ANLS
4402365292,IT
4402378244,MRKT
4402378244,SALE
4402370347,HR
4402355901,ADM
4401567777,LGL
4331961815,IT
4403194980,FIN
4403194980,SALE
4394764966,DSGN
4394764966,ART
4394764966,IT
4402360395,DSGN
4402360395,ART
4402360395,IT
4402372348,OTHR
4402370348,SALE
4402370348,BD
4403411099,BD
4403411099,SALE
4402374295,OTHR
4403402192,HR
4402372345,SALE
4402372345,BD
4402364378,SALE
4402364378,BD
4402367338,EDU
4402367338,TRNG
4402360445,IT
4402360445,ANLS
4400497708,PRJM
4400497708,ENG
4403400283,DSGN
4403400283,ART
4403400283,IT
4402367352,MGMT
4402367352,MNFC
4402373356,ANLS
4402373356,RSCH
4402373356,STRA
4323233418,ENG
4323233418,IT
4402359401,MRKT
4402359401,PR
4402359401,WRT
4403403138,ACCT
4403403138,FIN
4402363140,IT
4402363140,RSCH
4402372287,ACCT
4402372287,FIN
4403403296,BD
4403403296,SALE
4403404260,ENG
4403404260,IT
4401406020,MRKT
4401406020,SALE
4402368380,MRKT
4402368380,PR
4402368380,WRT
4402357253,ENG
4402357253,IT
4402363427,BD
4402363427,SALE
4400492947,MRKT
4380797555,IT
4380797555,CUST
4402362420,PRDM
4402362420,MRKT
4402356448,PRDM
4402356448,MRKT
4403198384,OTHR
4402369377,MGMT
4402369377,MNFC
4402369383,PRJM
4402369383,IT
4403416067,ACCT
4403416067,FIN
4402368400,ACCT
4402368400,FIN
4403413169,IT
4402360451,MRKT
4402360451,PR
4402360451,WRT
4402369405,FIN
4402369405,SALE
4402355971,BD
4402355971,SALE
4403414093,EDU
4403414093,TRNG
4402367363,MRKT
4402367363,PR
4402367363,WRT
4402378333,SALE
4402378333,BD
4403400395,SALE
4403400395,BD
4400800316,LGL
4400800316,RSCH
4400800316,FIN
4403408373,DSGN
4403408373,ART
4403408373,IT
4400810072,PRJM
4400810072,IT
4400807132,ADM
4400494959,STRA
4400494959,PRJM
4402361449,LGL
4402372374,SALE
4402372374,BD
4402374286,EDU
4402374286,TRNG
4402360539,ACCT
4402378377,RSCH
4402378377,ANLS
4402378377,IT
4403408342,SALE
4403408342,BD
4402373436,MRKT
4402373436,PR
4402373436,WRT
4402366144,FIN
4402366144,SALE
4402379013,IT
4402364416,BD
4402364416,SALE
4402357544,MRKT
4402357544,SALE
4402378417,SALE
4402378417,BD
4403406462,OTHR
4402363551,MRKT
4402363551,SALE
4402379045,MRKT
4402379045,PR
4402379045,WRT
4328124262,SALE
4328124262,ADVR
4403409443,SALE
4402369418,HCPR
4402362543,PRJM
4402362543,IT
4402378439,MRKT
4402378439,SALE
4402358526,ENG
4403199604,DSGN
4403199604,ART
4403199604,IT
4402357629,PRDM
4400814078,HR
4402376472,BD
4402376472,SALE
4377655578,SALE
4377655578,BD
4403407523,CUST
4402376474,LGL
4402358550,ADVR
4402358550,MRKT
4402358550,PRJM
4402367518,DSGN
4402367518,ART
4402367518,IT
4402378449,DSGN
4402378449,ART
4402378449,IT
4400812155,IT
4400800439,SALE
4400800439,BD
4402356586,MRKT
4402356586,PR
4402356586,WRT
4403408512,OTHR
4403400539,HR
4402376497,DSGN
4402376497,ART
4402376497,IT
4402363597,MRKT
4402363597,SALE
4402369536,ENG
4402369536,IT
4403405538,PRDM
4402358565,SALE
4402358565,BD
4402373536,MRKT
4402373536,PR
4402373536,WRT
4402366536,HR
4402366536,FIN
4402366536,SALE
4323527390,SALE
4323527390,BD
4403415176,DSGN
4403415176,ART
4403415176,IT
4402361609,SALE
4402361609,BD
4385682024,PRDM
4385682024,MRKT
4402358570,HR
4402358590,SALE
4402358590,BD
4402358613,OTHR
4402358613,SALE
4403409494,OTHR
4402371580,STRA
4402371580,CNSL
4402371580,PRJM
4402358577,PRJM
4402358577,IT
4403195609,SALE
4403195609,BD
4403408563,HR
3776621804,HR
4403402563,HR
4403417358,HR
4403403585,HR
4402357691,MRKT
4402357691,SALE
4402357696,MRKT
4402357696,SALE
4402358620,ACCT
4402358620,FIN
4403412486,HR
4403412487,HR
4402362657,MRKT
4402362657,SALE
4402359373,DSGN
